Sex,Age,Mother job,Father job,Travel time,Hosteller,Study time,subjects_failed,edu_support,Extra paid,Extracurricular,higher_edu,Internet,"Free time  after college (1 less, 5 more)","Going out with friends (1 less, 5 more)",Health,10(%),12(%),1st sem,2nd sem,3rd sem
Female,22,services,services,150,no,4,0,no,yes,yes,yes,yes,3,3,4,83.68,68.33,58.71,56.26,55.17
Female,21,other,other,62,no,4,0,yes,no,yes,yes,yes,3,2,4,92.32,87.66,80.42,80.4,72.82
Male,21,services,services,60,no,2,2,no,yes,no,yes,yes,4,4,5,81,68,54.28,48.133,47.17
Male,22,at_home,other,130,no,1,0,yes,no,no,yes,no,3,4,2,76.96,81.83,74,68.26,70.23
Female,22,other,other,180,no,2,0,yes,no,yes,yes,yes,3,3,1,77,71,70.42,64.13,67.17
Female,22,services,other,65,yes,2,0,no,yes,yes,yes,yes,4,2,3,76.58,80.33,40.57,45.6,52.11
Female,22,teacher,health,84,yes,4,0,yes,no,no,yes,no,1,3,5,82,78,68.71,64,61.05
Female,21,other,other,60,no,4,0,yes,yes,no,yes,yes,3,3,4,88.48,77.83,67.85,71.86,66.94
Female,21,services,other,30,no,1,0,no,yes,yes,yes,yes,5,5,1,79.52,70.83,59.57,66.26,58.7
Female,21,other,other,55,yes,2,0,yes,no,no,yes,no,3,3,2,81.28,87,74.14,70,68.82
Female,22,teacher,services,55,no,1,0,yes,yes,yes,yes,yes,3,3,1,83.6,78.3,61.85,65.33,56.82
Female,21,services,health,42,yes,3,0,yes,no,yes,yes,yes,3,4,4,83.2,77.66,65.42,65.73,63.52
Male,21,at_home,other,48,yes,2,0,yes,yes,yes,yes,yes,1,2,1,73.65,76.85,54.14,54.13,48.11
Male,21,services,other,70,no,2,0,yes,no,yes,yes,yes,3,3,4,68.36,73.5,51,50.93,44.94
Female,22,other,other,100,no,2,0,yes,yes,no,yes,no,3,5,5,78.45,80.5,79.42,75.6,67.41
Female,22,other,other,75,no,2,0,no,no,yes,yes,yes,3,4,1,90.4,68.83,59.85,56,65.05
Female,21,other,at_home,80,no,2,0,yes,yes,no,yes,yes,3,5,3,84.32,56,47.42,52.66,51.64
Female,21,services,services,150,no,3,0,yes,yes,yes,yes,yes,5,5,4,76,73,60.71,60.13,51.29
Female,21,services,teacher,25,no,2,0,yes,no,yes,yes,yes,4,3,4,71.64,72.5,62.71,61.46,54.94
Male,22,services,other,48,no,2,0,yes,no,yes,yes,yes,3,3,5,82,72,67.14,60.13,51.1
Female,21,services,other,70,no,3,0,yes,yes,no,yes,yes,3,5,2,94.01,81,83.14,80.8,77.76
Female,22,other,health,40,no,2,0,no,no,no,yes,no,3,3,4,81.12,79,80.57,67.86,68.82
Female,21,services,other,80,no,4,0,yes,no,yes,yes,yes,3,3,5,88.48,83.16,76,75.46,69.76
Female,21,other,other,48,yes,4,0,yes,yes,yes,yes,yes,3,5,1,87,75,64.71,60.4,51.64
Male,23,health,health,45,no,1,0,yes,yes,yes,yes,yes,4,5,4,90.56,73,60.85,60.55,54.58
Male,22,services,other,0,yes,1,4,yes,no,yes,yes,yes,1,2,2,67,45,69,70,62
Male,22,at_home,other,74,no,3,2,no,no,yes,yes,yes,1,2,5,77,60,64.36,59.321,40
Male,22,teacher,other,200,yes,1,0,no,no,no,yes,yes,5,2,3,64,68,56,50,49
Male,22,health,services,30,no,3,2,no,no,yes,yes,yes,4,2,5,75,70,28,26,65
Male,21,teacher,teacher,45,no,1,0,yes,no,yes,yes,yes,4,4,5,79.52,59,58,56,52
Male,21,other,teacher,60,no,2,1,yes,no,yes,yes,no,4,3,2,92,79.81,50,58,42
Male,21,other,services,45,yes,2,0,no,no,yes,yes,yes,4,2,5,78.4,76.33,48,52,48
Male,22,other,other,80,yes,4,2,yes,no,yes,yes,yes,2,4,5,73.44,0,50,48,56
Female,21,other,other,75,no,4,0,no,no,no,yes,yes,4,3,4,84.84,59.5,58,63,63
Male,22,at_home,services,0,no,3,0,no,no,no,yes,yes,2,3,1,8.8,60,62,67,80
Male,22,services,services,15,no,4,0,yes,yes,yes,yes,yes,5,4,5,65,60,53,57,63
Male,21,other,health,78,yes,3,0,yes,yes,yes,yes,yes,2,2,5,83,72,69,75,70
Male,22,health,other,95,yes,1,0,yes,no,yes,yes,yes,4,4,5,75.36,73.66,51,57,68
Male,22,other,other,48,yes,3,0,no,yes,no,yes,yes,4,4,5,87.8,86,60,72,62
Male,21,services,services,71,yes,2,0,no,no,no,yes,yes,5,5,5,68.4,67,48,56,52
Male,21,other,other,30,no,1,1,no,no,yes,yes,yes,3,2,1,75.33,60.33,51,62,57
Male,21,at_home,other,40,yes,2,1,yes,no,no,no,no,4,2,5,8.4,74.6,61,66,72
Female,21,services,other,60,no,2,0,yes,no,yes,yes,yes,3,3,4,80.8,77,71,77,77
Male,22,teacher,teacher,20,no,2,3,no,yes,yes,yes,yes,5,5,4,81.76,76,43,57,57
Female,21,services,teacher,80,no,1,0,yes,no,no,yes,yes,2,2,5,92,75.6,77,84,82
Male,21,at_home,other,85,yes,2,0,yes,no,yes,yes,yes,3,3,4,84,80,72,74,80
Female,22,other,other,150,yes,1,0,yes,no,no,yes,yes,4,4,5,80.32,75.5,65,73,65
Male,21,services,other,90,no,2,0,no,no,no,yes,yes,2,1,5,64,62,60,66,67
Female,23,at_home,teacher,27,no,4,0,yes,no,no,yes,no,3,3,5,67.68,57.5,54,60,60
Female,22,services,at_home,15,no,2,0,yes,no,yes,yes,yes,3,3,5,82.4,70,52,52,63
Male,21,at_home,other,28,yes,1,0,no,no,no,yes,no,4,5,5,84,70,64,60,68
Female,21,other,other,10,yes,2,0,yes,no,yes,yes,yes,3,2,5,89,84.6,68,72,77
Female,21,services,other,16,yes,1,0,no,no,no,yes,no,4,4,5,86.72,78.33,69,81,83
Female,21,teacher,teacher,0,no,2,0,no,no,yes,yes,yes,3,2,5,86,80,60,67,70
Male,21,teacher,services,15,no,2,0,yes,no,no,yes,yes,2,2,3,92.8,84,65,69,66
Male,22,services,services,50,no,1,0,yes,no,yes,yes,yes,3,3,2,69,69,65,67,66
Male,21,teacher,services,30,yes,1,0,yes,yes,yes,yes,yes,2,2,5,82,80,67,73,73
Female,21,at_home,at_home,38,no,3,0,no,no,no,yes,yes,4,4,1,77.6,56,44,54,57
Male,21,other,other,120,no,1,2,yes,no,no,yes,yes,4,5,5,82.4,73.5,49,56,64
Female,22,other,services,100,no,1,3,yes,yes,no,yes,yes,4,2,5,92.3,84.7,70,80,76
Female,21,health,services,90,yes,1,0,yes,no,no,yes,yes,3,2,3,88.16,82.13,73,72,75
Female,21,at_home,other,68,yes,2,0,yes,yes,no,yes,yes,3,2,5,83.52,82,67,67,67
Male,22,teacher,teacher,53,no,3,0,yes,no,no,no,yes,3,2,5,79.52,85.83,44,63,66
Male,22,services,other,101,no,2,0,no,no,no,yes,yes,5,5,5,90.72,85.66,53,72,68
Male,22,other,other,98,no,1,0,no,no,no,no,yes,3,5,4,71.36,83,65,69,74
Male,22,at_home,other,78,no,2,0,no,no,yes,yes,no,4,4,5,73,68,50,52,65
Male,21,services,services,58,no,1,0,yes,yes,yes,yes,yes,2,1,3,87.36,78.6,65,74,66
Male,21,services,at_home,128,no,4,2,yes,no,no,no,yes,5,4,4,70,75,55,69,66
Male,21,other,teacher,45,no,1,3,yes,no,no,yes,no,2,1,4,82,76,54,63,55
Male,22,at_home,services,128,no,3,0,no,yes,yes,yes,no,4,4,1,80,77.3,69,66,67
Male,21,other,other,45,yes,1,1,no,no,no,yes,no,2,2,5,77,85,61,68,67
Male,22,at_home,other,72,yes,1,0,yes,no,yes,yes,no,2,5,4,65,56,53,59,59
Female,22,at_home,other,18,no,2,0,no,no,no,yes,no,2,2,3,85,78,76,78,79
Male,21,other,services,16,no,2,0,yes,yes,no,yes,yes,5,5,5,84,71,66,71,70
Female,22,at_home,other,48,no,2,0,no,no,yes,no,yes,3,2,5,85.28,81,70,82,80
Female,22,other,other,79,no,1,0,yes,no,no,yes,yes,4,4,3,85.65,77,65,70,77
Male,21,other,other,50,no,1,0,no,no,yes,yes,no,4,4,5,75,74.5,65,70,73
Male,21,at_home,services,68,no,1,1,no,no,no,no,yes,3,3,2,83,72,61,69,70
Male,21,other,services,93,no,1,0,no,no,yes,no,no,3,5,5,83.2,60.5,57,66,73
Male,21,services,services,47,yes,3,0,yes,no,yes,no,no,5,2,2,80.8,82.33,65.28,56.13,66.35
Male,22,other,other,43,yes,1,0,no,no,no,no,yes,3,5,4,88.18,74,65.28,64,66.58
Male,21,health,services,38,yes,1,0,no,yes,no,yes,yes,2,3,3,72.32,59.66,42.71,47.06,57.17
Male,21,other,other,33,no,2,0,yes,yes,no,yes,yes,1,5,4,82.24,75.33,72.42,70.8,73.88
Male,22,health,health,15,yes,1,0,yes,yes,no,yes,yes,4,2,3,90.08,76.66,78.42,70.4,78.11
Male,21,other,other,18,no,1,1,yes,no,yes,yes,yes,4,5,2,84.5,77.5,78,69.6,62.23
Male,23,other,other,0,no,1,0,yes,yes,yes,yes,yes,3,2,3,68,56,58.42,49.6,63.17
Male,22,teacher,other,54,yes,2,1,yes,yes,yes,yes,yes,4,4,5,79.82,64,15.71,44.13,63.41
Male,21,at_home,services,25,yes,1,0,no,no,yes,yes,yes,3,5,3,91,80,77.28,74.53,82.82
Male,21,other,other,87,yes,2,1,yes,yes,yes,yes,yes,4,5,4,74.5,79.66,60.57,63.33,60.47
Male,21,teacher,other,26,no,1,1,no,yes,yes,yes,yes,4,4,4,70,65,54,55.86,56
Male,23,services,other,54,no,1,3,no,yes,yes,yes,yes,4,4,5,91.52,68.58,56,52.93,63.64
Male,21,other,other,52,no,2,0,no,no,yes,yes,yes,3,4,4,82,70,55.57,56.93,58.23
Male,22,teacher,services,87,no,1,1,yes,no,yes,yes,yes,3,3,3,75.5,69.5,55,50.66,64.23
Male,22,other,other,69,no,2,0,yes,no,yes,yes,yes,2,3,2,88,80,73,62.53,72.23
Male,21,teacher,other,25,no,2,1,yes,yes,yes,yes,yes,4,3,3,65,86.66,46.28,51.86,53.52
Male,22,services,other,47,no,2,0,no,yes,yes,yes,yes,2,3,3,89.28,79.16,73.42,71.6,78.94
Male,21,services,services,89,no,2,1,yes,no,yes,yes,no,4,2,5,69.76,69.144,50.28,46.13,54.47
Male,21,other,other,45,no,1,0,yes,no,yes,yes,yes,3,3,1,81.76,58,57.57,58.26,67.05
Male,22,other,other,75,no,2,0,yes,yes,no,yes,yes,2,2,1,76,73,58.71,52,55.88
Female,22,services,services,26,yes,2,0,yes,no,yes,yes,yes,3,4,4,80.48,75,62.2,69.2,69.65
Male,21,services,services,42,no,2,0,yes,yes,yes,yes,yes,3,3,3,83.84,72.1,63.57,53.93,54.59
Female,22,other,other,48,no,2,0,no,yes,yes,yes,yes,2,3,5,91,87,79.86,73.47,67.29
Male,21,health,other,57,no,2,0,yes,no,no,yes,yes,3,3,3,76,54,76.86,56.13,54
Female,21,at_home,other,69,yes,2,0,no,no,no,yes,no,1,3,3,89.12,77,79.43,76.67,73.88
Male,22,services,services,25,no,2,4,no,no,no,yes,yes,3,3,2,76.73,66.33,70.71,62.8,56.94
Female,21,at_home,services,42,yes,1,0,no,no,yes,yes,yes,3,3,3,84.96,83.5,80.57,76,72.59
Female,21,at_home,services,41,no,2,0,no,yes,yes,yes,yes,4,4,5,84,70.7,66.57,54.4,61.76
Male,21,services,services,57,no,2,0,yes,no,yes,yes,yes,3,2,5,67,80,71.57,62.13,64.71
Female,22,other,other,100,no,2,0,no,no,no,yes,yes,3,3,3,86,81,77.71,71.07,71.06
Female,21,services,services,25,no,2,0,no,no,yes,yes,yes,3,2,5,83,83,69.43,65.87,72.35
Female,27,services,teacher,48,no,2,0,no,no,no,yes,yes,2,3,5,74.42,74.5,69.14,57.2,58.82
Female,24,teacher,other,78,no,2,0,yes,yes,yes,yes,yes,3,4,3,69,76,70.86,68.67,68.35
Female,20,services,teacher,98,no,2,0,yes,no,no,yes,yes,2,4,2,88.48,79.66,77.14,72.93,65.53
Male,21,teacher,teacher,75,no,1,1,yes,yes,no,yes,yes,5,2,3,78,74,71.14,67.33,58.35
Female,23,health,other,65,no,2,0,yes,no,yes,yes,yes,3,5,2,90.5,65.3,67.43,67.07,66.24
Female,24,other,other,25,yes,2,0,yes,yes,yes,yes,no,4,3,4,92.33,83,79.86,73.87,62.47
Female,22,other,other,23,yes,2,0,yes,yes,no,yes,no,4,4,1,94,85,71.14,67.33,58.35
Female,21,other,other,54,yes,2,3,yes,no,no,yes,yes,3,2,3,79,62,29.57,50.4,46.94
Female,21,services,services,47,no,2,1,yes,yes,yes,yes,yes,3,5,5,83.84,81.67,78.14,49.33,60
